,Year,State,County,Log-Yield,GDD,KDD,MeanWindspeed,Windspeed2,Windspeed3,ST_CO
0,2007,IOWA,ADAIR,5.07953927274,8.82733625481,0.269945008371,4.829404854623333,27.944304536599997,184.88027420766664,IOWA_ADAIR
1,2007,IOWA,ADAMS,5.03304888893,8.86497488961,0.24614275775500002,4.427607736243333,23.920338252833332,149.58716938199998,IOWA_ADAMS
2,2007,IOWA,ALLAMAKEE,5.1185924356,7.38388093123,0.092554537123,4.58493964174,25.870345735999997,168.19705794200001,IOWA_ALLAMAKEE
3,2007,IOWA,APPANOOSE,5.02388052085,8.89210177469,0.269358092069,4.343937564903333,22.764804056333332,139.17273948266666,IOWA_APPANOOSE
4,2007,IOWA,AUDUBON,5.07953927274,8.49133626088,0.227822175242,4.713565031153333,26.997187013233333,179.14403492066666,IOWA_AUDUBON
5,2007,IOWA,BENTON,5.19406734517,7.96279446167,0.138274098031,4.389211448595001,23.9778970405,154.50415577249998,IOWA_BENTON
6,2007,IOWA,BLACK HAWK,5.17445337933,7.83969725255,0.127217683403,4.472869937693333,24.876461799066664,162.93830615466666,IOWA_BLACK HAWK
7,2007,IOWA,BOONE,5.20510498483,8.40022727622,0.210091775707,4.698202881623334,27.5371735527,190.03738742033332,IOWA_BOONE
8,2007,IOWA,BREMER,5.20070453768,7.643755156610001,0.11652236240999998,4.319432113186667,23.249489972733333,147.777506983,IOWA_BREMER
9,2007,IOWA,BUCHANAN,5.15848042136,7.51290635291,0.108669755644,4.29187402648,22.853145259,142.8128939355,IOWA_BUCHANAN
10,2007,IOWA,BUENA VISTA,5.09375020081,8.22337677112,0.213578476376,4.99793029595,30.3806009151,214.61374412466668,IOWA_BUENA VISTA
11,2007,IOWA,BUTLER,5.1716197135,7.87708776159,0.136074288609,4.29004478193,23.022077920599997,145.9323462965,IOWA_BUTLER
12,2007,IOWA,CALHOUN,5.19406734517,8.17542054425,0.190212140029,5.02164654725,31.204623435900004,227.68937168733336,IOWA_CALHOUN
13,2007,IOWA,CARROLL,5.13167228914,8.36822291882,0.223248047483,5.00914460021,30.426756879566664,214.13187088366666,IOWA_CARROLL
14,2007,IOWA,CASS,5.05942545827,8.81319437539,0.270601352575,4.55313181464,25.032885698999998,159.17075138299998,IOWA_CASS
15,2007,IOWA,CEDAR,5.21602212382,8.29612252559,0.18159796418600002,4.2245554257533335,22.211174967566667,138.781075597,IOWA_CEDAR
16,2007,IOWA,CERRO GORDO,5.15444699613,7.42126073771,0.116739948046,4.75816783489,27.880356509600002,191.61277331933331,IOWA_CERRO GORDO
17,2007,IOWA,CHEROKEE,5.11499530942,8.32348088169,0.230972868397,4.87563181464,29.14753618575,202.205190299,IOWA_CHEROKEE
18,2007,IOWA,CHICKASAW,5.12871458216,7.28609314651,0.0898333118723,4.3551538162,23.52591002725,148.85383329799998,IOWA_CHICKASAW
19,2007,IOWA,CLAY,5.09742442417,7.947396130239999,0.208798401685,4.664527518170001,26.570742250766667,175.193475123,IOWA_CLAY
20,2007,IOWA,CLAYTON,5.15675380223,7.43380789989,0.0984222028663,4.412924454830001,24.062427920566666,153.03935469666666,IOWA_CLAYTON
21,2007,IOWA,CLINTON,5.20784546338,8.0910261105,0.161595053227,4.128217159919999,21.47268418356667,133.28158641833332,IOWA_CLINTON
22,2007,IOWA,CRAWFORD,5.10897119482,8.46586456699,0.23005958784900002,5.089169911733333,31.310758962866668,224.18800627366667,IOWA_CRAWFORD
