,Year,State,County,lnyield,GDD,KDD,MeanWindspeed,Windspeed2,Windspeed3,KW,GW,ST_CO
0,2007,IOWA,ADAIR,5.079539272743469,57887.373055555545,693.1986111111113,184.88027420761944,0.6266666666666664,9981.28,4.829404854620976,27.944304536604363,IOWA_ADAIR
1,2007,IOWA,ADAMS,5.03304888893316,59614.31944444444,977.9625000000002,149.58716938226897,0.2700000000000002,9871.293333333333,4.4276077362409145,23.920338252855657,IOWA_ADAMS
2,2007,IOWA,ALLAMAKEE,5.118592435601349,48660.0825,60.51916666666665,168.1970579419782,0.0,9917.99,4.5849396417445485,25.87034573598131,IOWA_ALLAMAKEE
3,2007,IOWA,APPANOOSE,5.023880520846281,59099.76055555556,621.0558333333335,139.17273948293095,1.6899999999999995,9986.193333333335,4.343937564901349,22.764804056334373,IOWA_APPANOOSE
4,2007,IOWA,AUDUBON,5.079539272743469,56630.139444444445,591.7333333333335,179.14403492075544,1.1166666666666671,9960.83,4.7135650311526485,26.997187013239877,IOWA_AUDUBON
5,2007,IOWA,BENTON,5.194067345174241,55214.19458333333,321.8679166666668,154.5041557727804,1.5650000000000004,9883.29,4.389211448598131,23.97789704049844,IOWA_BENTON
6,2007,IOWA,BLACK HAWK,5.174453379325651,54195.288611111115,271.80888888888893,162.93830615498442,0.15333333333333363,9924.323333333334,4.472869937694704,24.87646179906542,IOWA_BLACK HAWK
7,2007,IOWA,BOONE,5.20510498482586,57556.93388888889,724.6627777777779,190.03738742036603,2.7833333333333345,9867.293333333335,4.698202881619938,27.537173552699898,IOWA_BOONE
8,2007,IOWA,BREMER,5.20070453768104,51869.30583333334,181.63555555555556,147.77750698293096,1.3633333333333344,9877.393333333333,4.319432113187954,23.249489972741433,IOWA_BREMER
9,2007,IOWA,BUCHANAN,5.15848042136024,53079.27666666667,182.65708333333333,142.81289393565032,0.125,9860.29,4.291874026479751,22.85314525895639,IOWA_BUCHANAN
10,2007,IOWA,BUENA VISTA,5.09375020080676,53990.15583333333,372.39138888888897,214.61374412480532,7.303333333333335,10001.140000000001,4.997930295950156,30.38060091510904,IOWA_BUENA VISTA
11,2007,IOWA,BUTLER,5.17161971350208,53666.67125,284.0816666666666,145.9323462965343,1.995000000000001,9849.075,4.290044781931464,23.022077920560747,IOWA_BUTLER
12,2007,IOWA,CALHOUN,5.194067345174241,55703.142499999994,459.446388888889,227.68937168762986,10.986666666666665,9949.686666666666,5.021646547248182,31.20462343587747,IOWA_CALHOUN
13,2007,IOWA,CARROLL,5.13167228913909,55958.31166666667,456.37972222222226,214.1318708836968,1.55,10039.0,5.0091446002076845,30.426756879543095,IOWA_CARROLL
14,2007,IOWA,CASS,5.05942545826569,58600.822499999995,844.3470833333336,159.1707513826908,0.0,9993.029999999999,4.553131814641745,25.03288569898754,IOWA_CASS
15,2007,IOWA,CEDAR,5.21602212382121,56153.07555555556,317.45194444444445,138.78107559689772,0.9100000000000019,9907.44,4.224555425752856,22.211174967549326,IOWA_CEDAR
16,2007,IOWA,CERRO GORDO,5.15444699612834,50985.76249999999,161.50388888888892,191.61277331911992,9.500000000000002,9943.84,4.758167834890966,27.880356509605402,IOWA_CERRO GORDO
17,2007,IOWA,CHEROKEE,5.114995309420499,54368.86125,457.39916666666676,202.20519029916278,4.545,9948.32,4.8756318146417446,29.14753618574766,IOWA_CHEROKEE
18,2007,IOWA,CHICKASAW,5.1287145821618605,49274.332500000004,90.40916666666669,148.8538332980919,4.690000000000001,9850.685,4.355153816199377,23.52591002725857,IOWA_CHICKASAW
19,2007,IOWA,CLAY,5.097424424168651,52639.17444444445,339.91777777777787,175.19347512292316,0.9799999999999992,9925.279999999999,4.664527518172378,26.570742250778817,IOWA_CLAY
20,2007,IOWA,CLAYTON,5.15675380222625,51116.37666666667,84.62444444444448,153.0393546966511,1.1066666666666667,9930.94,4.4129244548286595,24.062427920560747,IOWA_CLAYTON
21,2007,IOWA,CLINTON,5.20784546338396,56010.65666666667,323.2594444444445,133.2815864182892,1.6800000000000004,9815.306666666665,4.128217159916926,21.47268418354102,IOWA_CLINTON
22,2007,IOWA,CRAWFORD,5.10897119481712,55508.378333333334,429.54833333333346,224.18800627368898,11.556666666666667,10051.54,5.089169911734165,31.310758962876434,IOWA_CRAWFORD
23,2007,IOWA,DALLAS,5.12098335126512,58805.33208333333,767.8233333333335,162.8213770477025,4.1,9875.58,4.52648753894081,25.158453563084116,IOWA_DALLAS
24,2007,IOWA,DAVIS,5.0587903359833,60065.615000000005,640.4683333333335,96.76389023072431,0.0,9849.15,3.8406483644859812,17.870287636292836,IOWA_DAVIS
25,2007,IOWA,DELAWARE,5.1918451220375195,51786.791666666664,108.39611111111115,161.68985786623833,0.33666666666666717,9973.213333333333,4.529367211838006,25.084321086448597,IOWA_DELAWARE
26,2007,IOWA,DES MOINES,5.29078910012725,60552.10166666667,490.49999999999994,151.1155198543614,0.41000000000000014,9971.6,4.436954828660436,24.00717398753894,IOWA_DES MOINES
27,2007,IOWA,DICKINSON,5.1107822427012,50864.785833333335,220.14277777777784,214.4753631383048,2.1833333333333336,9993.66,5.0252187175493255,30.600916115005194,IOWA_DICKINSON
28,2007,IOWA,DUBUQUE,5.2040066870768,51445.16805555555,98.27000000000002,167.65692881464176,3.636666666666668,9895.339999999998,4.5300038940809975,25.46912218328141,IOWA_DUBUQUE
29,2007,IOWA,EMMET,5.16877799519305,51973.63111111111,209.7519444444445,210.75938948169787,5.396666666666667,9931.956666666667,4.91088785046729,29.81201726375909,IOWA_EMMET
30,2007,IOWA,FAYETTE,5.14341640533008,49995.89472222223,86.28194444444445,167.33446334683282,2.7433333333333327,9919.593333333332,4.555041536863967,25.587956113707165,IOWA_FAYETTE
31,2007,IOWA,FLOYD,5.13638649940182,50224.734444444446,168.84888888888898,162.18169467575288,4.283333333333338,9647.53,4.3700713914849425,24.468160526998957,IOWA_FLOYD
