,Year,State,County,lnyield,PPT,PPT2,GDD,KDD,MeanWindspeed,Windspeed2,Windspeed3,KW_2,KW_3,KW_4,KW_5,KW_6,KW_7,KW_8,KW_9,KW_10,KW_11,KW_12,KW_13,KW_14,KW_15,KW_16,KW_17,KW_18,KW_19,KW_20,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,ST_CO,PPT_SQUARE
0,2007,IOWA,ADAIR,5.079539272743469,3.9931480542954803,112.651826133496,57887.373055555545,693.1986111111113,4.829404854620976,27.944304536604363,184.88027420761944,14819.373333333335,10370.04,6659.386666666666,3943.5433333333335,2200.456666666667,1146.43,554.1466666666666,236.51999999999998,94.22666666666667,35.946666666666665,13.423333333333332,3.7966666666666664,1.3333333333333328,0.6266666666666664,0.293333333333333,0.0,0.0,0.0,0.0,569.1166666666667,827.4500000000002,1824.4633333333331,3546.6200000000003,5506.853333333333,7166.670000000001,8321.473333333333,9062.539999999999,9520.529999999999,9781.210000000001,9900.980000000001,9950.300000000001,9972.36,9981.28,9983.410000000002,9983.823333333334,9984.156666666668,9984.449999999999,9984.449999999999,IOWA_ADAIR,15.94523138352378
1,2007,IOWA,ADAMS,5.03304888893316,4.2072658052701,122.573887566694,59614.31944444444,977.9625000000002,4.4276077362409145,23.920338252855657,149.58716938226897,12867.480000000001,8627.383333333333,5263.156666666667,2998.8733333333334,1630.3066666666666,827.8466666666667,375.5833333333333,148.75,55.413333333333334,20.82,7.1833333333333345,1.6900000000000006,0.6699999999999999,0.2700000000000002,0.0,0.0,0.0,0.0,0.0,762.0466666666666,1077.2833333333335,2268.39,4228.203333333334,6219.196666666667,7683.0199999999995,8608.656666666666,9184.95,9550.543333333333,9742.116666666667,9823.816666666668,9853.583333333334,9866.199999999999,9871.293333333333,9872.043333333333,9872.443333333333,9872.713333333333,9872.713333333333,9872.713333333333,IOWA_ADAMS,17.701085556195064
2,2007,IOWA,ALLAMAKEE,5.118592435601349,4.93608472633935,146.50747534814698,48660.0825,60.51916666666665,4.5849396417445485,25.87034573598131,168.1970579419782,13630.225,9469.985,6137.860000000001,3698.715,2057.8950000000004,1007.37,438.31000000000006,153.255,43.24000000000001,10.265,2.0500000000000007,0.03500000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0250000000001,1225.7849999999999,2425.66,4128.755,5819.0599999999995,7214.68,8286.439999999999,9056.91,9515.955,9772.035,9872.835,9907.795,9914.975,9917.99,9918.025,9918.025,9918.025,9918.025,9918.025,IOWA_ALLAMAKEE,24.364932425600614
3,2007,IOWA,APPANOOSE,5.023880520846281,4.18867429174739,200.57863891470097,59099.76055555556,621.0558333333335,4.343937564901349,22.764804056334373,139.17273948293095,12318.843333333336,8015.243333333333,4772.27,2671.6966666666667,1417.826666666667,715.0133333333334,346.15666666666675,154.16666666666666,65.04666666666667,27.093333333333334,12.276666666666666,7.116666666666666,4.0233333333333325,1.6899999999999995,0.19666666666666663,0.0,0.0,0.0,0.0,650.2866666666667,1017.3533333333334,2445.0466666666666,4634.073333333333,6613.176666666666,8016.27,8911.283333333335,9426.773333333333,9707.843333333332,9861.88,9936.85,9970.31,9983.366666666667,9986.193333333335,9987.793333333333,9989.93,9991.423333333334,9991.62,9991.62,IOWA_APPANOOSE,17.544992322345497
4,2007,IOWA,AUDUBON,5.079539272743469,3.93519231997063,128.757192342209,56630.139444444445,591.7333333333335,4.7135650311526485,26.997187013239877,179.14403492075544,14243.383333333333,9843.070000000002,6301.21,3782.396666666667,2170.226666666667,1187.91,596.7500000000001,259.43666666666667,96.96333333333332,34.68,14.496666666666668,5.773333333333333,2.153333333333334,1.1166666666666671,0.45000000000000046,0.08333333333333333,0.0,0.0,0.0,590.1533333333333,877.5066666666667,2023.3133333333333,3888.146666666667,5820.503333333334,7351.666666666667,8380.01,9029.68,9461.033333333333,9737.396666666666,9881.686666666666,9935.246666666668,9953.143333333333,9960.83,9963.783333333333,9964.453333333333,9965.036666666667,9965.403333333334,9965.486666666666,IOWA_AUDUBON,15.485738595155828
5,2007,IOWA,BENTON,5.194067345174241,3.90326574224446,90.030192268685,55214.19458333333,321.8679166666668,4.389211448598131,23.97789704049844,154.5041557727804,12650.555,8501.3,5345.335,3221.0250000000005,1806.385,928.485,457.07000000000005,208.99,82.71000000000001,39.5,20.480000000000004,10.71,4.995000000000001,1.5650000000000004,0.40000000000000036,0.0,0.0,0.0,0.0,850.4350000000001,1222.1799999999998,2587.2149999999997,4600.16,6326.485000000001,7591.8949999999995,8534.119999999999,9165.939999999999,9514.075,9722.945,9828.205,9863.645,9876.95,9883.29,9887.84,9890.87,9892.035,9892.435000000001,9892.435000000001,IOWA_BENTON,15.235483454579194
6,2007,IOWA,BLACK HAWK,5.174453379325651,3.89379015799577,98.2026635573722,54195.288611111115,271.80888888888893,4.472869937694704,24.87646179906542,162.93830615498442,13044.769999999999,8851.423333333334,5651.326666666668,3453.2966666666666,1984.3133333333335,1057.256666666667,529.8966666666668,241.04333333333332,91.27666666666669,31.44,10.876666666666667,3.72,0.7733333333333334,0.15333333333333363,0.0,0.0,0.0,0.0,0.0,801.2233333333334,1171.21,2534.4466666666667,4504.429999999999,6242.209999999999,7516.516666666667,8463.473333333333,9105.01,9482.603333333334,9716.953333333333,9845.49,9898.836666666666,9917.786666666667,9924.323333333334,9927.116666666667,9927.736666666666,9927.89,9927.89,9927.89,IOWA_BLACK HAWK,15.161601794504723
7,2007,IOWA,BOONE,5.20510498482586,3.7044322291826295,99.3456328532775,57556.93388888889,724.6627777777779,4.698202881619938,27.537173552699898,190.03738742036603,14251.269999999999,9972.58,6511.826666666668,4059.7700000000004,2429.4500000000003,1386.17,744.6,376.1433333333334,170.5633333333333,72.46999999999998,31.38333333333333,14.19,5.886666666666668,2.7833333333333345,1.2900000000000003,0.8399999999999999,0.5066666666666665,0.1733333333333332,0.0,754.0333333333334,1037.6766666666667,2139.2566666666667,3949.89,5774.990000000001,7187.7666666666655,8181.183333333333,8860.006666666666,9302.663333333332,9573.026666666665,9738.186666666668,9819.753333333332,9851.869999999999,9867.293333333335,9874.103333333334,9876.756666666668,9877.916666666668,9878.033333333335,9878.193333333335,IOWA_BOONE,13.722818140606986
8,2007,IOWA,BREMER,5.20070453768104,4.06227470349414,110.240323951856,51869.30583333334,181.63555555555556,4.319432113187954,23.249489972741433,147.77750698293096,12300.390000000001,8193.29,5110.580000000001,3032.903333333333,1696.7833333333335,878.9133333333334,425.21000000000004,183.13333333333333,70.14,28.840000000000003,14.420000000000002,8.183333333333335,3.9300000000000015,1.3633333333333344,0.3000000000000007,0.0,0.0,0.0,0.0,854.8800000000001,1262.4466666666667,2694.403333333333,4705.16,6453.083333333333,7717.556666666666,8606.64,9183.099999999999,9523.81,9726.586666666668,9825.826666666666,9863.556666666665,9873.723333333333,9877.393333333333,9880.583333333334,9882.85,9883.913333333334,9884.213333333335,9884.213333333335,IOWA_BREMER,16.5020757666484
9,2007,IOWA,BUCHANAN,5.15848042136024,4.21042314323742,118.017958452743,53079.27666666667,182.65708333333333,4.291874026479751,22.85314525895639,142.81289393565032,12179.029999999999,8062.635,4979.985000000001,2919.915,1594.7600000000002,796.31,370.93500000000006,151.91,51.864999999999995,20.9,8.915000000000001,3.870000000000001,1.2000000000000002,0.125,0.0,0.0,0.0,0.0,0.0,849.035,1240.1399999999999,2664.99,4701.315,6461.8099999999995,7727.43,8630.21,9216.635,9539.965,9731.025,9821.085,9847.005000000001,9856.32,9860.29,9862.835000000001,9863.91,9864.035,9864.035,9864.035,IOWA_BUCHANAN,17.727663045109274
